game_id,title,issue_count,issues
312,Star Trek Online,2,categories: not sorted alphabetically; genres: not sorted alphabetically
313,Dead Island 2,2,categories: not sorted alphabetically; genres: not sorted alphabetically
314,Granblue Fantasy: Relink,2,categories: not sorted alphabetically; genres: not sorted alphabetically
315,Empyrion - Galactic Survival,2,categories: not sorted alphabetically; genres: not sorted alphabetically
316,eFootball PES 2021 SEASON UPDATE,1,categories: not sorted alphabetically
318,WWE 2K25,1,categories: not sorted alphabetically
319,Sniper Elite: Resistance,0,
320,FOUNDRY,0,
321,Eldegarde,0,
322,Scrap Mechanic,1,categories: not sorted alphabetically
323,Trailmakers,1,categories: not sorted alphabetically
324,Starbound,2,categories: not sorted alphabetically; genres: not sorted alphabetically
325,Pantheon: Rise of the Fallen,2,categories: not sorted alphabetically; genres: not sorted alphabetically
326,The Crew 2,2,categories: not sorted alphabetically; genres: not sorted alphabetically
327,WARNO,0,
328,WolfQuest: Anniversary Edition,2,categories: not sorted alphabetically; genres: not sorted alphabetically
329,Watch_Dogs 2,0,
330,Plants vs. Zombies Garden Warfare 2: Deluxe Editio,2,categories: not sorted alphabetically; genres: not sorted alphabetically
331,RuneScape: Dragonwilds,2,categories: not sorted alphabetically; genres: not sorted alphabetically
332,Call of Duty: Modern Warfare,1,categories: not sorted alphabetically
333,Lords of the Fallen,0,
334,Oddsparks: An Automation Adventure,1,categories: not sorted alphabetically
335,Age of Mythology: Extended Edition,2,categories: not sorted alphabetically; genres: not sorted alphabetically
336,Crab Champions,1,categories: not sorted alphabetically
337,The Lord of the Rings Online,2,categories: not sorted alphabetically; genres: not sorted alphabetically
338,One-armed robber,1,categories: not sorted alphabetically
339,Left 4 Dead,0,
340,Tom Clancy’s The Division,0,
341,MORDHAU,1,categories: not sorted alphabetically
342,Trove,2,categories: not sorted alphabetically; genres: not sorted alphabetically
343,Neverwinter Nights: Enhanced Edition,2,categories: not sorted alphabetically; genres: not sorted alphabetically
344,HumanitZ,2,categories: not sorted alphabetically; genres: not sorted alphabetically
345,Lightyear Frontier,2,categories: not sorted alphabetically; genres: not sorted alphabetically
346,Wizard101,2,categories: not sorted alphabetically; genres: not sorted alphabetically
347,Men of War: Assault Squad 2,2,categories: not sorted alphabetically; genres: not sorted alphabetically
348,ASKA,2,categories: not sorted alphabetically; genres: not sorted alphabetically
349,Deadside,2,categories: not sorted alphabetically; genres: not sorted alphabetically
350,Eco,1,categories: not sorted alphabetically
351,Legion TD 2 - Multiplayer Tower Defense,2,categories: not sorted alphabetically; genres: not sorted alphabetically
352,WEBFISHING,1,categories: not sorted alphabetically
354,Fall Guys: Ultimate Knockout,1,categories: not sorted alphabetically
355,Mindustry,1,categories: not sorted alphabetically
356,封灵档案,2,categories: not sorted alphabetically; genres: not sorted alphabetically
357,DRAGON BALL XENOVERSE 2,0,
358,Dead Frontier 2,1,categories: not sorted alphabetically
361,MechWarrior 5: Mercenaries,0,
362,Far Cry 6,2,categories: not sorted alphabetically; genres: not sorted alphabetically
363,Wobbly Life,1,categories: not sorted alphabetically
364,Borderlands Game of the Year Enhanced,0,
366,Avorion,2,categories: not sorted alphabetically; genres: not sorted alphabetically
367,Liar's Bar,1,categories: not sorted alphabetically
368,Titan Quest Anniversary Edition,2,categories: not sorted alphabetically; genres: not sorted alphabetically
369,Axis & Allies 1942 Online,1,categories: not sorted alphabetically
370,Tropico 6,2,categories: not sorted alphabetically; genres: not sorted alphabetically
371,Wingspan,1,categories: not sorted alphabetically
372,Apocalypse Party,1,categories: not sorted alphabetically
373,Resident Evil 5,1,categories: not sorted alphabetically
374,Far Cry 4,2,categories: not sorted alphabetically; genres: not sorted alphabetically
376,Fast Food Simulator,1,categories: not sorted alphabetically
377,Sins of a Solar Empire II,2,categories: not sorted alphabetically; genres: not sorted alphabetically
378,Sniper Elite 4,0,
379,Across the Obelisk,2,categories: not sorted alphabetically; genres: not sorted alphabetically
380,My Rusty Submarine,0,
381,Rhythm Doctor,0,
382,Unheard Scream,0,
383,DYO,0,
384,Nuclear Throne Mobile,0,
385,Froggin' Around Demo,0,
386,Hamsteria! - Demo,0,
387,SPECIMEN,0,
388,Fear Channel,0,
389,Hub OS,0,
390,Joggernauts,0,
391,East of Eden: Right of Conquest,0,
392,Micro Mages (NES / PC),0,
393,God Save The Queen,0,
394,Shagster Online 2,0,
395,Ducklings,0,
396,CHERNOZEM (PROTOTYPE),0,
397,Police Stories,0,
398,TowerFall Dark World Expansion,0,
399,Widelands,0,
400,Call of Duty: Black Ops,0,
401,Rise of Nations: Extended Edition,2,categories: not sorted alphabetically; genres: not sorted alphabetically
402,Resident Evil 6,0,
403,Void Crew,2,categories: not sorted alphabetically; genres: not sorted alphabetically
